Player,Year,t Value,Win Rate,Weight,g(v)
Dosedel S.,2000,0.48120300751879697,0.3684210526315789,7.857260175675871e-05,2.8947800647226892e-05
Ljubicic I.,2006,0.016752280285817777,0.0,0.0015759217203857804,0.0
Clement A.,2000,0.01446160510487996,0.49190283400809715,7.857260175675871e-05,3.86500854795392e-05
Enqvist T.,2000,0.10947845804988661,0.5510204081632653,7.857260175675871e-05,4.329510709045888e-05
Escude N.,2001,0.06921228304405874,0.0,0.0001295380301770818,0.0
Baccanello P.,2003,0.16666666666666666,0.4585635359116022,0.0003520462303391847,0.0001614355641886869
Knippschild J.,2000,0.23170731707317074,0.34146341463414637,7.857260175675871e-05,2.6829668892551757e-05
Federer R.,2006,0.005157467354328981,0.0,0.0015759217203857804,0.0
Fromberg R.,2000,0.7346938775510203,0.3877551020408163,7.857260175675871e-05,3.04669272118044e-05
Woodbridge T.,2000,0.25,0.4,7.857260175675871e-05,3.142904070270349e-05
Arthurs W.,2002,0.04292437520285621,0.0,0.00021355501091950901,0.0
Gambill J.M.,2001,0.05076083835773758,0.25,0.0001295380301770818,3.238450754427045e-05
Grosjean S.,2001,0.029562803608605137,0.0,0.0001295380301770818,0.0
Ilie A.,2000,0.23391089108910892,0.39603960396039606,7.857260175675871e-05,3.111786208188464e-05
Balcells J.,2001,0.23529411764705882,0.25,0.0001295380301770818,3.238450754427045e-05
Henman T.,2000,0.0352980352980353,0.65311004784689,7.857260175675871e-05,5.1316555692811313e-05
Hewitt L.,2001,0.017231093580766046,0.0,0.0001295380301770818,0.0
Woodforde M.,2000,1.0,0.3333333333333333,7.857260175675871e-05,2.6190867252252903e-05
Tebbutt M.,2001,0.6666666666666666,0.0,0.0001295380301770818,0.0
Lisnard J.,2002,0.16666666666666666,0.6143790849673203,0.00021355501091950901,0.00013120373219891403
Martin A.,2001,0.024567055980668547,0.0,0.0001295380301770818,0.0
Spadea V.,2004,0.03830227743271221,0.25,0.0005802998647124094,0.00014507496617810234
Draper S.,2003,0.342560553633218,0.2,0.0003520462303391847,7.040924606783695e-05
Norman M.,2000,0.2842718446601941,0.5885714285714285,7.857260175675871e-05,4.624558846254941e-05
Petrovic D.,2000,0.23076923076923078,0.3076923076923077,7.857260175675871e-05,2.4176185155925758e-05
Huet S.,2000,0.6410256410256411,0.23076923076923078,7.857260175675871e-05,1.813213886694432e-05
Pozzi G.,2000,0.49872665534804755,0.40789473684210525,7.857260175675871e-05,3.204935071657263e-05
Sekulov J.,2000,1.0,0.25,7.857260175675871e-05,1.964315043918968e-05
Stoltenberg J.,2000,0.53125,0.5833333333333334,7.857260175675871e-05,4.5834017691442585e-05
Hrbaty D.,2000,0.02391725921137686,0.5067873303167421,7.857260175675871e-05,3.98195990803483e-05
Goldstein P.,2000,0.07608695652173914,0.43125,7.857260175675871e-05,3.38844345076022e-05
Vinck C.,2000,0.35,0.2777777777777778,7.857260175675871e-05,2.1825722710210753e-05
Kumar S.,2000,0.0,0.0,7.857260175675871e-05,0.0
Agenor R.,2000,0.7,0.24,7.857260175675871e-05,1.885742442162209e-05
Behrend T.,2003,0.05460588793922127,0.2,0.0003520462303391847,7.040924606783695e-05
Popp A.,2004,0.06018518518518518,0.0,0.0005802998647124094,0.0
Rochus C.,2005,0.022950819672131147,0.0,0.0009564097625028942,0.0
Damm M.,2000,0.5185185185185185,0.4,7.857260175675871e-05,3.142904070270349e-05
Delgado J.,2001,0.10185185185185186,0.3137254901960784,0.0001295380301770818,4.0639382016339394e-05
Black B.,2000,0.4918918918918919,0.47297297297297297,7.857260175675871e-05,3.716271704711561e-05
Spottl M.,2000,0.0,0.0,7.857260175675871e-05,0.0
Golmard J.,2000,0.1624721248805352,0.5658914728682171,7.857260175675871e-05,4.446356533522005e-05
Hantschk M.,2000,0.5697151424287856,0.39655172413793105,7.857260175675871e-05,3.11581006966457e-05
Tieleman L.,2000,1.0,0.35714285714285715,7.857260175675871e-05,2.8061643484556683e-05
Kroslak J.,2000,0.6944444444444445,0.3333333333333333,7.857260175675871e-05,2.6190867252252903e-05
Jonsson F.,2000,0.6181818181818182,0.22727272727272727,7.857260175675871e-05,1.7857409490172435e-05
Ketola T.,2000,0.21052631578947367,0.3157894736842105,7.857260175675871e-05,2.481240055476591e-05
Ogorodov O.,2002,0.25,0.36134453781512604,0.00021355501091950901,7.716693671881418e-05
Zib T.,2005,0.16622222222222222,0.0,0.0009564097625028942,0.0
Manta L.,2000,0.9375,0.25,7.857260175675871e-05,1.964315043918968e-05
Paes L.,2000,0.46153846153846156,0.3076923076923077,7.857260175675871e-05,2.4176185155925758e-05
Boutter J.,2001,0.15594541910331383,0.0,0.0001295380301770818,0.0
Ram A.,2005,0.2,0.0,0.0009564097625028942,0.0
Pioline C.,2000,0.25162337662337664,0.49107142857142855,7.857260175675871e-05,3.8584759791265435e-05
Sanguinetti D.,2005,0.040519952024376804,0.0,0.0009564097625028942,0.0
Voinea A.,2002,0.15309917355371902,0.3291139240506329,0.00021355501091950901,7.028392764439537e-05
Kilderry P.,2000,0.0,0.0,7.857260175675871e-05,0.0
Stanoytchev O.,2000,0.9642857142857143,0.25,7.857260175675871e-05,1.964315043918968e-05
Tabara M.,2001,0.3064516129032258,0.0,0.0001295380301770818,0.0
Kafelnikov Y.,2001,0.11206034018317557,0.0,0.0001295380301770818,0.0
Ishii Y.,2000,0.0,0.0,7.857260175675871e-05,0.0
Vanek J.,2001,0.039496527777777776,0.0,0.0001295380301770818,0.0
Vinciguerra A.,2001,0.15104166666666669,0.0,0.0001295380301770818,0.0
Lopez-Moron A.,2000,1.0,0.1,7.857260175675871e-05,7.857260175675872e-06
Bastl G.,2000,0.13513513513513514,0.3333333333333333,7.857260175675871e-05,2.6190867252252903e-05
Novak J.,2002,0.045040820829655784,0.0,0.00021355501091950901,0.0
Al-Alawi S.K.,2000,0.0,0.0,7.857260175675871e-05,0.0
Berasategui A.,2000,0.9473684210526315,0.21052631578947367,7.857260175675871e-05,1.6541600369843937e-05
Caratti C.,2000,0.19230769230769232,0.15384615384615385,7.857260175675871e-05,1.2088092577962879e-05
Heuberger I.,2004,0.07882882882882884,0.2,0.0005802998647124094,0.00011605997294248188
Arazi H.,2000,0.07873730043541363,0.5096153846153846,7.857260175675871e-05,4.004180666450203e-05
Cherkasov A.,2000,1.0,0.25,7.857260175675871e-05,1.964315043918968e-05
El Aynaoui Y.,2001,0.05374517374517374,0.0,0.0001295380301770818,0.0
Dupuis A.,2004,0.04772458628841607,0.0,0.0005802998647124094,0.0
Luxa P.,2000,0.0,0.0,7.857260175675871e-05,0.0
Gaudio G.,2005,0.037350910232266166,0.0,0.0009564097625028942,0.0
Kiefer N.,2004,0.01948249619482496,0.2,0.0005802998647124094,0.00011605997294248188
Tarango J.,2000,0.7188160676532769,0.2558139534883721,7.857260175675871e-05,2.0099967891263856e-05
Puerta M.,2005,0.17849361967009025,0.0,0.0009564097625028942,0.0
Mirnyi M.,2003,0.026048026048026047,0.2,0.0003520462303391847,7.040924606783695e-05
Santoro F.,2001,0.02630450482982757,0.0,0.0001295380301770818,0.0
Burgsmuller L.,2003,0.051170283331754,0.25925925925925924,0.0003520462303391847,9.127124490275158e-05
Diaz J.,2001,0.44000000000000006,0.0,0.0001295380301770818,0.0
Schalken S.,2001,0.048150470219435734,0.25,0.0001295380301770818,3.238450754427045e-05
Schuettler R.,2003,0.04339370718681064,0.2,0.0003520462303391847,7.040924606783695e-05
Sanchez J.,2000,0.0,0.0,7.857260175675871e-05,0.0
Siemerink J.,2001,0.33551198257080617,0.0,0.0001295380301770818,0.0
Squillari F.,2000,0.1038091969800961,0.4946808510638298,7.857260175675871e-05,3.886836150733277e-05
Tillstrom M.,2000,1.0,0.5,7.857260175675871e-05,3.928630087837936e-05
Ivanisevic G.,2001,0.29548332629801605,0.0,0.0001295380301770818,0.0
Vicente F.,2000,0.049982853223593963,0.3950617283950617,7.857260175675871e-05,3.104102785452196e-05
Vacek D.,2000,0.3908045977011494,0.20689655172413793,7.857260175675871e-05,1.625640036346732e-05
Marin J.A.,2000,0.12121212121212122,0.3116883116883117,7.857260175675871e-05,2.4490161586522196e-05
van Lottum J.,2003,0.16666666666666666,0.5,0.0003520462303391847,0.00017602311516959235
Chang M.,2000,0.2898550724637681,0.47101449275362317,7.857260175675871e-05,3.7008834160792146e-05
Ferrero J.C.,2003,0.01625534620275113,0.3153153153153153,0.0003520462303391847,0.00011100556812496814
Sargsian S.,2003,0.0752572898799314,0.2,0.0003520462303391847,7.040924606783695e-05
Gustafsson M.,2001,0.3043290043290043,0.0,0.0001295380301770818,0.0
Nielsen M.,2002,0.2222222222222222,0.0,0.00021355501091950901,0.0
Haas T.,2001,0.013360739979445015,0.18181818181818182,0.0001295380301770818,2.3552369123105783e-05
Johansson T.,2001,0.04049305672682296,0.0,0.0001295380301770818,0.0
Weiner G.,2004,0.23333333333333334,0.4823008849557522,0.0005802998647124094,0.0002798791382904983
Costa F.,2000,0.0,0.0,7.857260175675871e-05,0.0
Bjorkman J.,2000,0.027490378367571348,0.48717948717948717,7.857260175675871e-05,3.8278959830215784e-05
Rosset M.,2000,0.20744949494949497,0.45454545454545453,7.857260175675871e-05,3.571481898034487e-05
Sell M.,2000,1.0,0.5,7.857260175675871e-05,3.928630087837936e-05
Woodruff C.,2000,0.3598200899550225,0.42028985507246375,7.857260175675871e-05,3.302326740501453e-05
Mantilla F.,2001,0.05098476402824229,0.0,0.0001295380301770818,0.0
Kuerten G.,2000,0.07311415893505446,0.6790540540540541,7.857260175675871e-05,5.335504376050169e-05
Clavet F.,2000,0.18488160291438982,0.4236111111111111,7.857260175675871e-05,3.32842271330714e-05
Zabaleta M.,2003,0.04154685900872362,0.2,0.0003520462303391847,7.040924606783695e-05
Corretja A.,2000,0.09992953686503105,0.575107296137339,7.857260175675871e-05,4.5187676546805435e-05
Ullyett K.,2000,1.0,0.2857142857142857,7.857260175675871e-05,2.2449314787645347e-05
Costa A.,2002,0.04981884057971015,0.0,0.00021355501091950901,0.0
